id,label,x,y
10,lodzkie,-1776,-451
10,lodzkie,-1846,-405
10,lodzkie,-1873,-457
10,lodzkie,-1894,-435
10,lodzkie,-1981,-450
10,lodzkie,-2005,-475
10,lodzkie,-2081,-387
10,lodzkie,-2102,-387
10,lodzkie,-2119,-449
10,lodzkie,-2143,-409
10,lodzkie,-2199,-374
10,lodzkie,-2258,-372
10,lodzkie,-2345,-342
10,lodzkie,-2354,-293
10,lodzkie,-2341,-257
10,lodzkie,-2350,-217
10,lodzkie,-2386,-237
10,lodzkie,-2423,-132
10,lodzkie,-2333,-100
10,lodzkie,-2329,-35
10,lodzkie,-2245,-76
10,lodzkie,-2200,-19
10,lodzkie,-2200,184
10,lodzkie,-2165,326
10,lodzkie,-2108,383
10,lodzkie,-2100,362
10,lodzkie,-1979,378
10,lodzkie,-1938,422
10,lodzkie,-1971,624
10,lodzkie,-1894,616
10,lodzkie,-1882,652
10,lodzkie,-1825,652
10,lodzkie,-1821,709
10,lodzkie,-1846,713
10,lodzkie,-1825,769
10,lodzkie,-1790,793
10,lodzkie,-1721,785
10,lodzkie,-1704,845
10,lodzkie,-1749,849
10,lodzkie,-1739,906
10,lodzkie,-1699,924
10,lodzkie,-1670,917
10,lodzkie,-1627,922
10,lodzkie,-1582,975
12,malopolskie,-1190,-1085
12,malopolskie,-1157,-1067
12,malopolskie,-1121,-1075
12,malopolskie,-1088,-1075
12,malopolskie,-1061,-1112
12,malopolskie,-1009,-1109
12,malopolskie,-989,-1094
12,malopolskie,-931,-1121
12,malopolskie,-931,-1169
12,malopolskie,-877,-1247
12,malopolskie,-911,-1259
12,malopolskie,-911,-1293
12,malopolskie,-871,-1307
12,malopolskie,-880,-1350
12,malopolskie,-823,-1431
12,malopolskie,-766,-1431
12,malopolskie,-727,-1407
12,malopolskie,-696,-1416
12,malopolskie,-636,-1379
12,malopolskie,-555,-1362
12,malopolskie,-245,-1256
12,malopolskie,-276,-1404
12,malopolskie,-291,-1461
12,malopolskie,-267,-1482
12,malopolskie,-258,-1515
12,malopolskie,-285,-1554
12,malopolskie,-261,-1581
12,malopolskie,-288,-1623
12,malopolskie,-264,-1695
12,malopolskie,-201,-1701
12,malopolskie,-201,-1735
12,malopolskie,-233,-1741
